vraag,score,antw,juist_antw,categorie,moeilijkheidsgraad,gem_score
1,1,B,B,redeneren,1,0.93
2,1,E,E,begrippenkennis,2,0.63
3,1,D,D,vaardigheden,1,0.95
4,1,E,E,vaardigheden,2,0.69
5,1,E,E,ruimtelijk inzicht,1,0.9
6,1,B,B,begrippenkennis,1,0.66
7,1,A,A,vaardigheden,2,0.42
8,1,A,A,begrippenkennis,3,0.43
9,1,E,E,vaardigheden,2,0.67
10,1,B,B,ruimtelijk inzicht,1,0.75
11,1,D,D,vaardigheden,2,0.68
12,1,B,B,modelleren en combineren,2,0.51
13,1,C,C,vaardigheden,1,0.74
14,1,D,D,begrippenkennis,4,0.25
15,-0.25,B,D,ruimtelijk inzicht,3,0.21
16,1,A,A,modelleren en combineren,2,0.59
17,1,D,D,redeneren,3,0.37
18,0,blanco,B,vaardigheden,3,0.28
19,1,E,E,modelleren en combineren,1,0.74
20,1,D,D,redeneren,4,0.1
21,-0.25,A,C,begrippenkennis,4,0.06
22,1,A,A,modelleren en combineren,3,0.31
23,0,blanco,C,modelleren en combineren,4,0.2
24,0,blanco,A,modelleren en combineren,4,0.14
25,1,E,E,modelleren en combineren,1,0.7
26,1,D,D,modelleren en combineren,2,0.49
27,0,blanco,D,modelleren en combineren,4,0.03
28,-0.25,B,A,modelleren en combineren,3,0.32
29,0,blanco,D,modelleren en combineren,4,0.02
30,1,B,B,modelleren en combineren,4,0
